model,R2,Q2.5,Q97.5
meancolcooney,0.18680525067388692,0.18008297006024043,0.1935762426384012
dichrocooney,0.13185915582932078,0.12551104607898436,0.13816794640713487
malecolcooney,0.17092158705137983,0.16403818510641074,0.17791499359434404
dichrodiff,0.175370124745387,0.16875507951050292,0.18218912610662644
