model,response,source_fit,quantity,factor_compared,held_fixed,contrast,estimate,lo,hi,pd,credible,pct_change,effect_size
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Plantation - Primary vegetation,0.17491348235000004,0.03548084895224998,0.3218395750175,0.99425,TRUE,19.114315724741672,0.15723172445401604
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Cropland - Primary vegetation,-0.0014495639999998478,-0.15195191574999975,0.14836795462499994,0.5085,FALSE,-0.14485138895667937,-0.0013030296142087948
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Pasture - Primary vegetation,-0.012928234999999955,-0.17727164324999992,0.16366118874999988,0.556,FALSE,-1.2845024344854017,-0.0116213379088142
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Plantation - Secondary,-0.04789970095000018,-0.21304356634750027,0.1264495116199999,0.7095,FALSE,-4.677060971475333,-0.04305758755708746
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Cropland - Secondary,-0.2259001424999998,-0.4004771456774998,-0.04596703589500029,0.9935,TRUE,-20.220223622162493,-0.20306421484771794
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Pasture - Secondary,-0.2334814169999999,-0.4280685689750003,-0.03437346723249984,0.989,TRUE,-20.822769089164204,-0.20987910897239762
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Cropland - Plantation,-0.17672513200000006,-0.38066767535499996,0.021751775802499873,0.96225,FALSE,-16.198990497215004,-0.15886023698917923
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Pasture - Plantation,-0.18447551249999994,-0.40457851820000024,0.03338331792499979,0.95525,FALSE,-16.84596980067603,-0.1658271424261846
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Temperate closed,Pasture - Cropland,-0.009986539499999836,-0.20279261465000017,0.19012105970000018,0.5425,FALSE,-0.9936839595353075,-0.008977014269095427
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical open,Secondary - Primary vegetation,0.10420515364999994,0.01200735485999992,0.19801272045000023,0.98825,TRUE,10.982811685099003,0.09367120124336825
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical open,Plantation - Primary vegetation,0.06158280250000003,-0.06953586082500003,0.18929278309999975,0.82175,FALSE,6.351855487816382,0.05535748361816372
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical open,Cropland - Primary vegetation,0.11867042519999993,-0.04633040024749997,0.2824448715999996,0.9225,FALSE,12.599875631398326,0.10667419883935154
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical open,Pasture - Primary vegetation,0.5556225699999997,0.3415394167000003,0.7720875447500002,1,TRUE,74.30258026254515,0.4994554659420865
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical open,Plantation - Secondary,-0.04348375094999968,-0.17253469045499986,0.08485241790000006,0.7415,FALSE,-4.2551888413192795,-0.039088039731074546
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical open,Cropland - Secondary,0.010864082345000137,-0.15233461992974995,0.18275009100800002,0.55575,FALSE,1.0923310780809548,0.009765847542253804
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical open,Pasture - Secondary,0.45135144669999994,0.23571236644999968,0.6753335678500001,0.99975,TRUE,57.04331086523175,0.40572496382784345
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical open,Cropland - Plantation,0.05599272869500016,-0.1364358914500001,0.25575416239999954,0.71075,FALSE,5.758999364924411,0.050332502511066385
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical open,Pasture - Plantation,0.49395712849999973,0.25030495717999995,0.7532482481425002,1,TRUE,63.87883019750302,0.44402369718419216
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Land use,Biome = Tropical open,Pasture - Cropland,0.43718537864999973,0.17638427167499973,0.703828000575,0.999,TRUE,54.83430802033347,0.39299092367090716
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Primary vegetation,Temperate closed - Tropical closed,0.4609756199999999,-0.14852034649999998,1.02896038,0.9405,FALSE,58.56201933889944,0.41437624298638964
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Primary vegetation,Tropical open - Tropical closed,-0.053828878000000024,-0.7190417049999998,0.5935672362500004,0.564,FALSE,-5.240575314877816,-0.048387392439133196
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Primary vegetation,Tropical open - Temperate closed,-0.5238788350000001,-1.3304966109999998,0.34722780515000007,0.8885,FALSE,-40.77810325283201,-0.47092066046223185
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Secondary,Temperate closed - Tropical closed,0.6901814,0.07396529900000011,1.268205002,0.9845,TRUE,99.40772260453579,0.6204119330889704
