colour_predictor,R2_estimate,R2_error,R2_lower,R2_upper
z_meancolcooney,0.5078232731460806,0.008000397712440372,0.4923891751331318,0.5235124062103826
z_dichrocooney,0.5080055552081473,0.00805043331152995,0.49195973491509,0.5240361285830737
z_malecolcooney,0.5079533413044437,0.008021414345090447,0.4922544074241657,0.5236285697047864
z_dichrodiff,0.5080782531975138,0.007937562866993562,0.49254699300330346,0.5234687132450958
