model,parameter,Estimate,Est.Error,Q2.5,Q97.5,prior_only_empty_cell,sparse_trophic
meancolcooney,Intercept,4.674696314866667,0.06730946061621314,4.545014595,4.807900589999999,FALSE,FALSE
meancolcooney,Biome4TemperateForest,-0.17189826226516666,0.04585502718385832,-0.26014789199999994,-0.0825213370250001,FALSE,FALSE
meancolcooney,Biome4TropicalOpen,-0.098621661575029,0.056522378501786874,-0.206895798,0.014714315774999967,FALSE,FALSE
meancolcooney,Predominant_simpleCropland,-0.24292311463137284,0.17345161576623977,-0.5779220695,0.10026535225,FALSE,FALSE
meancolcooney,Predominant_simplePasture,-0.09922798733186683,0.18040051340233018,-0.45288916425,0.24675522249999984,FALSE,FALSE
meancolcooney,Predominant_simplePlantationforest,6.888345551536667e-4,0.12921098818006413,-0.252263372,0.24995268624999986,FALSE,FALSE
meancolcooney,Predominant_simpleSecondary,-0.005111741665140117,0.10010696407995924,-0.20285045399999999,0.1928487495,FALSE,FALSE
meancolcooney,Trophic.NicheFrugivore,0.11445671360575467,0.06394886696770334,-0.014615172925,0.23823600524999994,FALSE,FALSE
meancolcooney,Trophic.NicheGranivore,-0.007828467332115334,0.06484612636006357,-0.137190589,0.11972536099999988,FALSE,FALSE
meancolcooney,Trophic.NicheInvertivore,-0.079746719011385,0.06316173806901178,-0.20557698324999998,0.04300980364999996,FALSE,FALSE
meancolcooney,Trophic.NicheNectarivore,0.08154354033280384,0.0673156705930614,-0.05228124805,0.21329982824999993,FALSE,FALSE
meancolcooney,Trophic.NicheOmnivore,-0.0116214664084,0.06317625294227121,-0.138623015,0.11171859249999996,FALSE,FALSE
meancolcooney,z_logMass,-0.11464546681333333,0.0035777180382047615,-0.12165071825,-0.10765290525,FALSE,FALSE
meancolcooney,Biome4TemperateForest:Predominant_simpleCropland,0.08037910672944,0.025489024987069033,0.030355799225,0.1296542935,FALSE,FALSE
meancolcooney,Biome4TropicalOpen:Predominant_simpleCropland,-0.018787495063926466,0.0250309049975992,-0.067961167575,0.030051717949999963,FALSE,FALSE
meancolcooney,Biome4TemperateForest:Predominant_simplePasture,0.09445111398524833,0.035988276822143936,0.022051122575,0.16411773049999995,FALSE,FALSE
meancolcooney,Biome4TropicalOpen:Predominant_simplePasture,0.07924616399033284,0.04352448563365911,-0.006286975387500003,0.16403936474999997,FALSE,FALSE
meancolcooney,Biome4TemperateForest:Predominant_simplePlantationforest,-0.0025159164342226,0.02461960611822997,-0.05083671215,0.04496640917499997,FALSE,FALSE
meancolcooney,Biome4TropicalOpen:Predominant_simplePlantationforest,0.042774263067796664,0.016331526605318253,0.011681945525,0.07444438047499999,FALSE,FALSE
meancolcooney,Biome4TemperateForest:Predominant_simpleSecondary,-0.009784707675332384,0.017672180611688862,-0.044283463875000005,0.02554651219999999,FALSE,FALSE
meancolcooney,Biome4TropicalOpen:Predominant_simpleSecondary,-0.019385229274605734,0.01462807682691491,-0.04792638505,0.008701546772499996,FALSE,FALSE
meancolcooney,Predominant_simpleCropland:z_logMass,-0.03879820343055,0.009179289193841134,-0.05662065305,-0.020806155275000005,FALSE,FALSE
meancolcooney,Predominant_simplePasture:z_logMass,0.029835954862964833,0.01544313915315611,-7.479194525000004e-4,0.06046389212499999,FALSE,FALSE
meancolcooney,Predominant_simplePlantationforest:z_logMass,-0.004878261815751166,0.005827376900157978,-0.016175009,0.0065552645374999975,FALSE,FALSE
meancolcooney,Predominant_simpleSecondary:z_logMass,-0.02753505475115,0.00621940187014583,-0.039590789925,-0.015513690925000014,FALSE,FALSE
meancolcooney,Predominant_simpleCropland:Trophic.NicheFrugivore,0.3615212827011433,0.17460933566010078,0.019309794999999998,0.6998020007499997,FALSE,FALSE
meancolcooney,Predominant_simplePasture:Trophic.NicheFrugivore,0.4468742483219543,0.18511848106917247,0.08647748599999999,0.8078289919999998,FALSE,FALSE
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheFrugivore,-0.2695083701954217,0.13014164891507354,-0.52168237825,-0.015773790975000153,FALSE,FALSE
meancolcooney,Predominant_simpleSecondary:Trophic.NicheFrugivore,-0.0110711426902949,0.10124345238898005,-0.21166431100000002,0.18973659799999992,FALSE,FALSE
meancolcooney,Predominant_simpleCropland:Trophic.NicheGranivore,0.0887360217164562,0.17520809595557718,-0.25870598125,0.4328838549999998,FALSE,FALSE
meancolcooney,Predominant_simplePasture:Trophic.NicheGranivore,-0.220543037615707,0.18242375521001553,-0.5808645545000001,0.13666963474999977,FALSE,FALSE
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheGranivore,0.17753832721553334,0.130818816939606,-0.07636504867499999,0.4341131632499998,FALSE,FALSE
meancolcooney,Predominant_simpleSecondary:Trophic.NicheGranivore,0.09916565039642067,0.10335342824179859,-0.1061075545,0.30186073199999963,FALSE,FALSE
meancolcooney,Predominant_simpleCropland:Trophic.NicheInvertivore,0.127913331645137,0.17353618857430597,-0.21245550825,0.466832201,FALSE,FALSE
meancolcooney,Predominant_simplePasture:Trophic.NicheInvertivore,0.0385327549445405,0.18049267136111702,-0.3077025585,0.38905421949999996,FALSE,FALSE
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheInvertivore,-0.036133419466155337,0.12927238287553522,-0.28529578925,0.21881372674999963,FALSE,FALSE
meancolcooney,Predominant_simpleSecondary:Trophic.NicheInvertivore,-0.016785735019070585,0.0999126261063955,-0.215324845,0.17972543124999996,FALSE,FALSE
meancolcooney,Predominant_simpleCropland:Trophic.NicheNectarivore,0.07053759745154267,0.181001136340867,-0.29088780675000003,0.4290666565,FALSE,FALSE
meancolcooney,Predominant_simplePasture:Trophic.NicheNectarivore,-0.06445795906326013,0.19436758757038966,-0.44284103599999997,0.3110318749999997,FALSE,FALSE
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheNectarivore,0.021328481584725,0.1348856750985627,-0.23937313550000003,0.28634107699999994,FALSE,FALSE
meancolcooney,Predominant_simpleSecondary:Trophic.NicheNectarivore,-0.030642181912382,0.1074771909950045,-0.23611994875,0.17716758174999997,FALSE,FALSE
meancolcooney,Predominant_simpleCropland:Trophic.NicheOmnivore,0.19150380457790167,0.17445555865926185,-0.15049711274999997,0.53384505825,FALSE,FALSE
meancolcooney,Predominant_simplePasture:Trophic.NicheOmnivore,-0.04903235731510498,0.18122542211894016,-0.398624364,0.30525480450000003,FALSE,FALSE
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheOmnivore,-0.029951571955201334,0.12953300572344484,-0.27973787375,0.2263198644999995,FALSE,FALSE
meancolcooney,Predominant_simpleSecondary:Trophic.NicheOmnivore,-0.08113497939141984,0.10018528973702007,-0.28044420875,0.11497206549999996,FALSE,FALSE
dichrocooney,Intercept,0.19788914609823333,0.045809555607398966,0.10781198075,0.28758880024999994,FALSE,FALSE
dichrocooney,Biome4TemperateForest,0.09869216904688333,0.02913580206989131,0.040711308975,0.1556569387499999,FALSE,FALSE
dichrocooney,Biome4TropicalOpen,-0.03211926880851315,0.036186740361865595,-0.10537349550000001,0.03760353787499998,FALSE,FALSE
dichrocooney,Predominant_simpleCropland,-0.06010062775443583,0.1521064289463729,-0.35915081725,0.24199320449999998,FALSE,FALSE
dichrocooney,Predominant_simplePasture,-0.0090374196397047,0.15288906671831684,-0.3109614885,0.28813746299999987,FALSE,FALSE
dichrocooney,Predominant_simplePlantationforest,-0.08222691601807974,0.09526559431821044,-0.26693338875,0.1034295434999999,FALSE,FALSE
dichrocooney,Predominant_simpleSecondary,0.05331223018727258,0.07306485635042953,-0.08827295802500001,0.19454469899999993,FALSE,FALSE
dichrocooney,Trophic.NicheFrugivore,-0.061471395696407666,0.04391047973781403,-0.147190892,0.025971719199999972,FALSE,FALSE
dichrocooney,Trophic.NicheGranivore,0.05009619523604533,0.0443164180844136,-0.036841149325,0.13903482049999988,FALSE,FALSE
dichrocooney,Trophic.NicheInvertivore,-0.18566264318741665,0.04349121041868658,-0.26989800525,-0.0993684644500001,FALSE,FALSE
dichrocooney,Trophic.NicheNectarivore,0.05138539547296185,0.04611943564043686,-0.039755506975,0.14291811149999992,FALSE,FALSE
dichrocooney,Trophic.NicheOmnivore,-0.09872223506567207,0.04355719534674785,-0.18209750875,-0.012150907275000004,FALSE,FALSE
dichrocooney,z_logMass,-0.022698005629833335,0.0023194287375461232,-0.027202784275000003,-0.018164660500000002,FALSE,FALSE
dichrocooney,Biome4TemperateForest:Predominant_simpleCropland,-0.012092590903985217,0.0165512055201961,-0.04466389715,0.0207707528,FALSE,FALSE
dichrocooney,Biome4TropicalOpen:Predominant_simpleCropland,0.05900925073651833,0.015951115987747615,0.027434074774999997,0.090453103525,FALSE,FALSE
dichrocooney,Biome4TemperateForest:Predominant_simplePasture,-0.011187330610516466,0.022973876864383378,-0.05807915725,0.033479583649999964,FALSE,FALSE
dichrocooney,Biome4TropicalOpen:Predominant_simplePasture,0.004261330674561383,0.027578461447377578,-0.04891345407500001,0.058284806724999944,FALSE,FALSE
dichrocooney,Biome4TemperateForest:Predominant_simplePlantationforest,-0.008934058517947317,0.015501913868470293,-0.039544325724999996,0.02252840222499999,FALSE,FALSE
dichrocooney,Biome4TropicalOpen:Predominant_simplePlantationforest,0.04400940236203333,0.010452886846000816,0.02358711365,0.06468252449999998,FALSE,FALSE
dichrocooney,Biome4TemperateForest:Predominant_simpleSecondary,-0.015746464455593665,0.01143865116986785,-0.037727944325,0.0068512427674999815,FALSE,FALSE
dichrocooney,Biome4TropicalOpen:Predominant_simpleSecondary,0.016172866456817165,0.009196890997571866,-0.0020727238850000006,0.03416223909999999,FALSE,FALSE
