colour_predictor,max_rhat,min_ess_bulk,min_ess_tail,n_divergent,converged
z_meancolcooney,1.0068890565634663,725.3532503906426,1391.184883034759,0,TRUE
z_dichrocooney,1.0064549206583806,567.354790880495,1141.1911538732015,0,TRUE
z_malecolcooney,1.0077599663372687,600.8393126202209,1188.0029572087212,0,TRUE
z_dichrodiff,1.0142922116049484,525.8899038336938,1141.0903441712812,0,FALSE
