response,contrast,Estimate,Q2.5,Q97.5,prob_positive,credible
meancolcooney,Cropland - Primary vegetation,0.030231850000000282,-0.05183072999999921,0.1127944825000001,0.766125,FALSE
meancolcooney,Pasture - Primary vegetation,-0.11272034999999958,-0.20867073750000012,-0.01728687500000016,0.010625,TRUE
meancolcooney,Plantation_forest - Primary vegetation,-0.04564009999999996,-0.11961461749999983,0.030397152499999882,0.117375,FALSE
meancolcooney,Secondary - Primary vegetation,-0.010137500000000355,-0.06413272000000027,0.04354647249999953,0.35875,FALSE
dichrocooney,Cropland - Primary vegetation,-7.937624999999962e-4,-0.06597720164999998,0.06492492449499997,0.490875,FALSE
dichrocooney,Pasture - Primary vegetation,0.073899892,-0.001971166849999982,0.14850231399999997,0.971875,FALSE
dichrocooney,Plantation_forest - Primary vegetation,0.029775590499999994,-0.027347660250000003,0.09090726334999999,0.83825,FALSE
dichrocooney,Secondary - Primary vegetation,-0.003040158350000004,-0.045421921225,0.0396208031375,0.444625,FALSE
malecolcooney,Cropland - Primary vegetation,0.022626450000000187,-0.07146033499999993,0.1162370150000006,0.684,FALSE
malecolcooney,Pasture - Primary vegetation,-0.08509079999999969,-0.19291246999999945,0.021168069999999463,0.0615,FALSE
malecolcooney,Plantation_forest - Primary vegetation,-0.03824605000000014,-0.12579706750000036,0.04684066999999994,0.189875,FALSE
malecolcooney,Secondary - Primary vegetation,-0.011705799999999655,-0.07351184999999998,0.04814911500000047,0.345875,FALSE
dichrodiff,Cropland - Primary vegetation,0.7619654999999996,-8.0302703,9.35292250425,0.570375,FALSE
dichrodiff,Pasture - Primary vegetation,6.81718475,-3.1413902719999998,16.840170825,0.90425,FALSE
dichrodiff,Plantation_forest - Primary vegetation,4.125542650000002,-3.72070842,11.798961971464998,0.854875,FALSE
dichrodiff,Secondary - Primary vegetation,0.18031249999999943,-5.546476224999998,5.852272049999999,0.524,FALSE
