model,parameter,Estimate,Est.Error,Q2.5,Q97.5,prior_only_empty_cell
z_malecolcooney,Intercept,-3.2799483375,0.3294112884072916,-3.9411713175000003,-2.6343157999999995,FALSE
z_malecolcooney,z_malecolcooney,0.002204594479540025,0.020984489557016775,-0.03879727752500001,0.04252521180000001,FALSE
z_malecolcooney,Biome4TemperateForest,0.02883279488664875,0.201793817313716,-0.363728171,0.42892044550000014,FALSE
z_malecolcooney,Biome4TemperateOpen,-0.08049111515452,0.19996039982122193,-0.4741605425,0.3132009350000002,FALSE
z_malecolcooney,Biome4TropicalOpen,-0.127115597272055,0.0976824344962924,-0.31458157575,0.06394741905000008,FALSE
z_malecolcooney,Predominant_simpleCropland,-0.00793159064963875,0.03910983287009157,-0.08264422817500001,0.0675524289,FALSE
z_malecolcooney,Predominant_simplePasture,0.242296280664,0.05302370322912186,0.13762837475,0.34709199325,FALSE
z_malecolcooney,Predominant_simplePlantationforest,-0.01803393463724475,0.03225294784474972,-0.07936524117499999,0.045477811725000004,FALSE
z_malecolcooney,Predominant_simpleSecondary,0.0178321303163305,0.0315876661477089,-0.04459446935,0.07997351897500002,FALSE
z_malecolcooney,z_malecolcooney:Biome4TemperateForest,0.014895804560290025,0.0338162189406496,-0.051223813199999996,0.079446318225,FALSE
z_malecolcooney,z_malecolcooney:Biome4TemperateOpen,-0.02752204953347925,0.05188735360694706,-0.13014663075,0.0735906161,FALSE
z_malecolcooney,z_malecolcooney:Biome4TropicalOpen,-0.089383159320835,0.030064692756207646,-0.14670138175,-0.030317448099999988,FALSE
z_malecolcooney,z_malecolcooney:Predominant_simpleCropland,-0.02134011208809115,0.01736576674462005,-0.0547913578,0.012952751125000005,FALSE
z_malecolcooney,z_malecolcooney:Predominant_simplePasture,-0.01745581345181365,0.022924593471685305,-0.061848173275,0.02847755815000002,FALSE
z_malecolcooney,z_malecolcooney:Predominant_simplePlantationforest,0.003349939982383525,0.014368683922866455,-0.024772310824999998,0.03170666487500001,FALSE
z_malecolcooney,z_malecolcooney:Predominant_simpleSecondary,-0.0127913201527696,0.012825168034776974,-0.038454819749999994,0.01181716695,FALSE
z_malecolcooney,Biome4TemperateForest:Predominant_simpleCropland,-0.03818814321721085,0.07304793195356223,-0.18258415525,0.10480863050000008,FALSE
z_malecolcooney,Biome4TemperateOpen:Predominant_simpleCropland,0.56341690697225,0.16948079377839775,0.2205205685,0.8990977382500002,FALSE
z_malecolcooney,Biome4TropicalOpen:Predominant_simpleCropland,0.0687239650888175,0.08099995757130828,-0.08739841285,0.22562110775000002,FALSE
z_malecolcooney,Biome4TemperateForest:Predominant_simplePasture,-0.1981561787819925,0.1009508956573182,-0.39981702375,-0.0021619082624999997,FALSE
z_malecolcooney,Biome4TemperateOpen:Predominant_simplePasture,0.268287651547325,0.16785882157076937,-0.06339881817500001,0.5878848112499999,FALSE
z_malecolcooney,Biome4TropicalOpen:Predominant_simplePasture,0.239230763852875,0.09004789110068445,0.0575170189,0.4101651922500001,FALSE
z_malecolcooney,Biome4TemperateForest:Predominant_simplePlantationforest,0.09464487075479724,0.06624789353867788,-0.03386800802499999,0.22428250600000002,FALSE
z_malecolcooney,Biome4TemperateOpen:Predominant_simplePlantationforest,0.00458342873325475,0.5045805714924867,-0.98638251025,1.007754375,TRUE
z_malecolcooney,Biome4TropicalOpen:Predominant_simplePlantationforest,0.09012918911016975,0.07520165988063042,-0.0549953728,0.23714702999999998,FALSE
z_malecolcooney,Biome4TemperateForest:Predominant_simpleSecondary,0.23851449676875,0.05747975941756502,0.12834062325000004,0.3503778335,FALSE
z_malecolcooney,Biome4TemperateOpen:Predominant_simpleSecondary,0.0938653265759725,0.1693533716248758,-0.22863638825,0.42617723925,FALSE
