"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"fit2",0,0,79508.452265537,772.03447799163,735.711341709131,28.2810047267305,-159016.904531074,1544.06895598326
"fit3",-1.34451170910951,3.72991166156053,79507.1077538255,771.737137444631,739.917935195842,28.3923021243324,-159014.215507651,1543.47427488926
