model,parameter,Estimate,Est.Error,Q2.5,Q97.5,prior_only_empty_cell
z_malecolcooney,Intercept,0.001347714576774325,0.024303837522917662,-0.045433242699999994,0.048163153974999984,FALSE
z_malecolcooney,z_malecolcooney,-0.0016502186937442879,0.00178360168406346,-0.005166038372500001,0.0018428936774999981,FALSE
z_malecolcooney,Biome4TemperateForest,-0.013644814170223037,0.0076633075995829825,-0.029389796249999996,0.0013041945549999753,FALSE
z_malecolcooney,Biome4TropicalOpen,0.0101952633402735,0.007979004929675283,-0.0053521064975,0.02605080105,FALSE
z_malecolcooney,Predominant_simpleCropland,-0.00386111933545875,9.270131175510831e-4,-0.005677940405,-0.0020599157925000004,FALSE
z_malecolcooney,Predominant_simplePasture,-0.0013245431713363326,0.0019342880069102202,-0.005107337525000001,0.0024630176449999997,FALSE
z_malecolcooney,Predominant_simplePlantationforest,-0.0015271253265390476,0.0010129092932943083,-0.0035225737699999997,4.434457842499987e-4,FALSE
z_malecolcooney,z_malecolcooney:Biome4TemperateForest,0.01000668109857125,0.0032167114173749,0.0037708517975,0.016279767149999996,FALSE
z_malecolcooney,z_malecolcooney:Biome4TropicalOpen,0.008591106093605,0.002390284884421261,0.003919383125,0.013367578849999999,FALSE
z_malecolcooney,z_malecolcooney:Predominant_simpleCropland,7.507602682234941e-4,6.572310799735989e-4,-5.166778945e-4,0.002047674894999999,FALSE
z_malecolcooney,z_malecolcooney:Predominant_simplePasture,0.00147630245359546,0.0012477524847942355,-9.634335327499997e-4,0.003938111072499997,FALSE
z_malecolcooney,z_malecolcooney:Predominant_simplePlantationforest,0.0017630962157908,7.10393326121378e-4,3.7005189175e-4,0.0031790773299999993,FALSE
z_malecolcooney,Biome4TemperateForest:Predominant_simpleCropland,0.0037340802004270377,0.007169197598587884,-0.0100702967,0.01787517462499999,FALSE
z_malecolcooney,Biome4TropicalOpen:Predominant_simpleCropland,-0.005464068781458,0.0026518309468869555,-0.010714399875,-2.481308317500016e-4,FALSE
z_malecolcooney,Biome4TemperateForest:Predominant_simplePasture,0.0010703201832741487,0.007453838936148263,-0.013111090649999999,0.015854037874999997,FALSE
z_malecolcooney,Biome4TropicalOpen:Predominant_simplePasture,-6.932202985177962e-4,0.0028967845513841336,-0.0063397357025,0.0049476576425,FALSE
z_malecolcooney,Biome4TemperateForest:Predominant_simplePlantationforest,0.0019149218870609624,0.006914138954630951,-0.011643816575,0.015585936499999998,FALSE
z_malecolcooney,Biome4TropicalOpen:Predominant_simplePlantationforest,0.00174538502707749,0.0015893399297082786,-0.0014449668824999997,0.0047679528449999994,FALSE
z_dichrodiff,Intercept,0.0025884702179363637,0.02547567555818147,-0.0485500931,0.05017279797499996,FALSE
z_dichrodiff,z_dichrodiff,9.469868822966937e-4,0.0014403109378208565,-0.0017941302749999999,0.0037706384449999993,FALSE
z_dichrodiff,Biome4TemperateForest,-0.017009618775752175,0.007428869592068702,-0.031657985175,-0.0025296436675000047,FALSE
z_dichrodiff,Biome4TropicalOpen,0.009184029581060937,0.0080146973959175,-0.006785310874999999,0.025226318074999993,FALSE
z_dichrodiff,Predominant_simpleCropland,-0.003682776122555,9.060848364070812e-4,-0.005444195955,-0.0019022691100000011,FALSE
z_dichrodiff,Predominant_simplePasture,-0.001111275958375812,0.0019074675201215547,-0.0048826359824999995,0.0027134315625000002,FALSE
z_dichrodiff,Predominant_simplePlantationforest,-0.0013673564724631375,0.0010216914327574693,-0.0033531009774999997,6.538446122499993e-4,FALSE
z_dichrodiff,z_dichrodiff:Biome4TemperateForest,-0.0010829730602311862,0.0027525095858835368,-0.0066177324000000004,0.004189643217499999,FALSE
z_dichrodiff,z_dichrodiff:Biome4TropicalOpen,0.0106323109574875,0.0021908945632605546,0.006367358977499999,0.014948497024999998,FALSE
z_dichrodiff,z_dichrodiff:Predominant_simpleCropland,0.0012401405243255726,7.601722320771793e-4,-2.0588296824999999e-4,0.0027545041349999995,FALSE
z_dichrodiff,z_dichrodiff:Predominant_simplePasture,6.279795415060338e-4,0.0011970336299687435,-0.0016638147124999998,0.002958170202499998,FALSE
z_dichrodiff,z_dichrodiff:Predominant_simplePlantationforest,7.885196917927502e-4,6.995750917080524e-4,-5.701038507499999e-4,0.0021981118149999998,FALSE
z_dichrodiff,Biome4TemperateForest:Predominant_simpleCropland,0.0027091860269074126,0.006793246510004488,-0.0104634147,0.016075946149999985,FALSE
z_dichrodiff,Biome4TropicalOpen:Predominant_simpleCropland,-0.0056115407875663124,0.002564581012899612,-0.0106567638,-5.269402272500012e-4,FALSE
z_dichrodiff,Biome4TemperateForest:Predominant_simplePasture,-5.0178323133102496e-5,0.007059144950055983,-0.013470642474999999,0.013683628449999994,FALSE
z_dichrodiff,Biome4TropicalOpen:Predominant_simplePasture,-0.0015623717281057188,0.0027282512073948037,-0.0069313262575,0.0037236619874999976,FALSE
z_dichrodiff,Biome4TemperateForest:Predominant_simplePlantationforest,7.357112569463625e-4,0.0065255605544001965,-0.012037532024999999,0.013369251049999987,FALSE
z_dichrodiff,Biome4TropicalOpen:Predominant_simplePlantationforest,0.001491540782213568,0.001605010913204085,-0.0016601716575,0.004623369095,FALSE
