response,elpd_A3a,elpd_A3b,elpd_diff_A3a_minus_A3b,se_diff,preferred
meancolcooney,-120476.72808915461,-120826.87671766043,350.14862850581994,36.52459888477517,A3a (full interactions)
dichrocooney,1020.4338361740158,800.2749780823011,220.1588580917147,28.32960761070538,A3a (full interactions)
malecolcooney,-124057.28313228324,-124413.30526150602,356.02212922277977,35.725851309805485,A3a (full interactions)
dichrodiff,-117479.0054543204,-117727.33632375266,248.33086943226226,32.249706595466826,A3a (full interactions)
