"colour_predictor","model_type","R2_estimate","R2_lower","R2_upper"
"z_malecolcooney","interaction",0.000193654423840954,5.97736780907641e-05,0.000399794094352148
"z_dichrodiff","interaction",0.000523700470170401,0.000243388501913284,0.000883373906409734
"z_malecolcooney","main_effects",0.000117438904404668,2.35187569470122e-05,0.000282261130949224
"z_dichrodiff","main_effects",0.000460085582247098,0.000190323834951554,0.000822904768476492
