"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"fit2",0,0,37149.2509216247,182.819618442597,1874.47637625358,27.3227881176602,-74298.5018432493,365.639236885194
"fit3",-4.42730420923109,3.18483484761036,37144.8236174151,182.699922484472,1879.00104784651,27.0539341605834,-74289.6472348302,365.399844968944
