model,response,factor,contrast,estimate,lo,hi,pd,credible,pct_change,effect_size
A3b,Male colourfulness,Land use,Secondary - Primary vegetation,-0.03455121278333406,-0.0499079475033329,-0.019116093540832192,1,TRUE,-3.3961135119448316,-0.08012759874586911
A3b,Male colourfulness,Land use,Plantation - Primary vegetation,-0.025199958499999564,-0.0454184674416668,-0.004498187724999579,0.9911666666666666,TRUE,-2.488508998190675,-0.05844113709590232
A3b,Male colourfulness,Land use,Cropland - Primary vegetation,-0.06680926259999964,-0.09256420632333408,-0.042403326399999997,1,TRUE,-6.462640494939187,-0.15493713114181462
A3b,Male colourfulness,Land use,Pasture - Primary vegetation,-0.027696787999999195,-0.06502596126200103,0.009728485397499584,0.9245,FALSE,-2.7316748673273716,-0.06423152580287476
A3b,Male colourfulness,Land use,Plantation - Secondary,0.0093896715499997,-0.014104286270000266,0.03227705585833269,0.782,FALSE,0.943389281525886,0.021775555000974927
A3b,Male colourfulness,Land use,Cropland - Secondary,-0.03225623286666757,-0.059546055150001595,-0.004936754504167799,0.9893333333333333,TRUE,-3.174154934764395,-0.07480531871345353
A3b,Male colourfulness,Land use,Pasture - Secondary,0.007031789666666732,-0.0321921972624998,0.046448492561665986,0.6351666666666667,FALSE,0.7056570750695546,0.016307399233979964
A3b,Male colourfulness,Land use,Cropland - Plantation,-0.041639100108333604,-0.07205010011666613,-0.011016621359167747,0.9966666666666667,TRUE,-4.078410097428531,-0.09656509386637153
A3b,Male colourfulness,Land use,Pasture - Plantation,-0.002519935833334319,-0.04405336714833324,0.03797251334166663,0.5446666666666666,FALSE,-0.2516763460317262,-0.005843974525147347
A3b,Male colourfulness,Land use,Pasture - Cropland,0.039306089166667224,-0.0032382484168327562,0.08239128084166632,0.965,FALSE,4.008879484434225,0.09115461621466558
A3b,Male colourfulness,Biome,Temperate closed - Tropical closed,-0.10199614911999877,-0.20303629088500041,-0.007943646019000482,0.9823333333333333,TRUE,-9.696697086598649,-0.23653891866433224
A3b,Male colourfulness,Biome,Tropical open - Tropical closed,-0.09167396010000006,-0.206557141811002,0.032729270702499126,0.9255,FALSE,-8.7597419298585,-0.2126007656055654
A3b,Male colourfulness,Biome,Tropical open - Temperate closed,0.014074373409999286,-0.12408674484305572,0.1482259339650994,0.5795,FALSE,1.4173883703722412,0.03263983097403532
A3b,Male colourfulness,Trophic niche,Frugivore - Aquatic predator,0.017186211999999923,-0.09829875992500021,0.13340944925000073,0.6076666666666667,FALSE,1.7334744625806753,0.03985648514664238
A3b,Male colourfulness,Trophic niche,Granivore - Aquatic predator,0.03585903600000018,-0.08166307777499995,0.1513063195000009,0.7233333333333334,FALSE,3.6509725635311296,0.08316056707009828
