model,R2,Q2.5,Q97.5
meancolcooney_base,0.09001220572344086,0.08396740961562946,0.0961259827355064
meancolcooney_covariate,0.16281265245739185,0.1558321417219897,0.16977950846106202
dichrocooney_base,0.07092778017126754,0.0657145158328701,0.07629694561480498
dichrocooney_covariate,0.14178914827267847,0.13493062395417407,0.14897510337403924
malecolcooney_base,0.06958832390318194,0.06455466634018209,0.07497395998827557
malecolcooney_covariate,0.15099707437635881,0.14395449606064126,0.15815623661425252
dichrodiff_base,0.07559912010555071,0.06950222344861681,0.08172721193586553
dichrodiff_covariate,0.18136590077919146,0.1733424365050011,0.18927635252118385
