response,parameter,Estimate,Est.Error,Q2.5,Q97.5
meancolcooney,prop_Cropland,4.6660749936125,0.181722124072352,4.301815495,5.02155339
meancolcooney,prop_Plantation_forest,4.591820743875,0.17674233487962485,4.2412381425,4.9349783925
meancolcooney,prop_Primary_vegetation,4.56980036165,0.17621199332304058,4.2106278125,4.910611472499999
meancolcooney,prop_Pasture,4.41488796515,0.18143999962431198,4.04839063,4.7628055375
meancolcooney,prop_Secondary,4.6110589769625,0.17554428386780072,4.2558062825,4.9507075225
dichrocooney,prop_Cropland,0.0639177922030869,0.10044443507976297,-0.12964967425,0.261615063
dichrocooney,prop_Plantation_forest,0.05740563940961129,0.09380037356068015,-0.12213243924999999,0.24425393674999993
dichrocooney,prop_Primary_vegetation,0.083070645854894,0.0923667432741918,-0.09615852575,0.26505445049999987
dichrocooney,prop_Pasture,0.09718353234448712,0.0987044075601804,-0.095317278575,0.2883342134999997
dichrocooney,prop_Secondary,0.037527406059837225,0.09154393418336385,-0.14044409175,0.22097686374999984
malecolcooney,prop_Cropland,4.6820787686,0.20058414135019814,4.2854428075,5.077828585
malecolcooney,prop_Plantation_forest,4.6137527800125,0.19425686415705723,4.23042371,5.0062705925
malecolcooney,prop_Primary_vegetation,4.593383389725,0.1931992168882776,4.2153528725000005,4.97906157
malecolcooney,prop_Pasture,4.446454188425,0.1996965503980728,4.051514895,4.8473506075
malecolcooney,prop_Secondary,4.6221896360125,0.19133508880472494,4.245240734999999,5.00200602
dichrodiff,prop_Cropland,7.9358760940935875,13.245061053372376,-18.1531248,33.79358395
dichrodiff,prop_Plantation_forest,6.12356416904625,12.270613822752896,-17.8330239,30.152125124999998
dichrodiff,prop_Primary_vegetation,11.2967326637585,12.111272826974085,-12.56803245,35.001976324999994
dichrodiff,prop_Pasture,11.400373527857363,12.922470463138303,-13.8918127,37.001935325
dichrodiff,prop_Secondary,5.214283882169418,12.032691245259993,-18.298348224999998,28.567698799999995
