colour_predictor,parameter,Estimate,Est.Error,Q2.5,Q97.5
z_meancolcooney,Intercept,-2.4405127680666667,0.02446462327148447,-2.4877276225,-2.3921983125
z_meancolcooney,z_meancolcooney,-0.007476071044727055,0.0076140198228609466,-0.022195380875,0.007523422492499989
z_meancolcooney,Predominant_simpleCropland,0.454167195875,0.03962877864050508,0.37792540425,0.53262704475
z_meancolcooney,Predominant_simplePasture,0.6335845771783334,0.04355720138953585,0.5450680112499999,0.7187578592499999
z_meancolcooney,Predominant_simplePlantationforest,-0.002835330580796667,0.037759068178639985,-0.079602435875,0.06931671317499996
z_meancolcooney,Predominant_simpleSecondary,0.22472056398166668,0.03616040566301403,0.1533258025,0.29645682124999995
z_meancolcooney,z_meancolcooney:Predominant_simpleCropland,0.0196256185536435,0.014627759680639053,-0.008506454135,0.0482637685
z_meancolcooney,z_meancolcooney:Predominant_simplePasture,0.058306763779528335,0.018712194136437547,0.021992062625,0.095139184925
z_meancolcooney,z_meancolcooney:Predominant_simplePlantationforest,-0.03619949904588517,0.012682172548316046,-0.06100689145,-0.010983246600000014
z_meancolcooney,z_meancolcooney:Predominant_simpleSecondary,0.015832312469534166,0.011881667739411876,-0.00724381148,0.038955142449999994
z_dichrocooney,Intercept,-2.4401422206,0.026205245812617285,-2.4909849375,-2.3878026475000005
z_dichrocooney,z_dichrocooney,-0.00268861401033803,0.00721242882162002,-0.0164978882,0.011455607824999995
z_dichrocooney,Predominant_simpleCropland,0.45230393124,0.04177571002504301,0.3693862485,0.5347561652499999
z_dichrocooney,Predominant_simplePasture,0.6216348158083334,0.043332586695599015,0.5366611742499999,0.7043417242500001
z_dichrocooney,Predominant_simplePlantationforest,7.5876355710875e-4,0.04034865991041765,-0.07792091505,0.07794286769999992
z_dichrocooney,Predominant_simpleSecondary,0.22169166101133334,0.03674994584678623,0.14839940925,0.29345724600000006
z_dichrocooney,z_dichrocooney:Predominant_simpleCropland,0.034228555294954166,0.014706165672186204,0.005216490515,0.06292680167499999
z_dichrocooney,z_dichrocooney:Predominant_simplePasture,0.056281334750268336,0.01738920324554471,0.022178871824999998,0.09063169694999999
z_dichrocooney,z_dichrocooney:Predominant_simplePlantationforest,0.006895154250328666,0.012104030803235521,-0.01656438405,0.03097541747499995
z_dichrocooney,z_dichrocooney:Predominant_simpleSecondary,0.03494116816996833,0.01206863574852363,0.011207955825000001,0.058267492000000004
z_malecolcooney,Intercept,-2.43710178685,0.025318558869670778,-2.4877217925000004,-2.3875088750000004
z_malecolcooney,z_malecolcooney,-0.009802139459123933,0.0073589248364616475,-0.024079327625,0.0047519590049999744
z_malecolcooney,Predominant_simpleCropland,0.44984432846666667,0.040024205654359185,0.36983630024999997,0.5277381215
z_malecolcooney,Predominant_simplePasture,0.6312134537666667,0.045032892247814135,0.54260183175,0.7183927090000001
z_malecolcooney,Predominant_simplePlantationforest,-0.003910270157751333,0.03969851070184049,-0.07981171525,0.07501575244999999
z_malecolcooney,Predominant_simpleSecondary,0.2202135605975,0.03620938798308822,0.15058467725,0.2907342355
z_malecolcooney,z_malecolcooney:Predominant_simpleCropland,0.022568714400377332,0.014571723743184758,-0.0061247590000000005,0.050740618149999986
z_malecolcooney,z_malecolcooney:Predominant_simplePasture,0.07258280631331666,0.018342025074590554,0.03674790395,0.10827019124999997
z_malecolcooney,z_malecolcooney:Predominant_simplePlantationforest,-0.030161156276353168,0.012325173436197523,-0.0545325287,-0.006218333000000013
z_malecolcooney,z_malecolcooney:Predominant_simpleSecondary,0.023518705758303716,0.011817704482670728,7.052515494999985e-5,0.04623613735
z_dichrodiff,Intercept,-2.4374279778,0.02571167003317838,-2.488126285,-2.3873769425000004
z_dichrodiff,z_dichrodiff,-0.011991825708769,0.0070787203702063995,-0.02594450085,0.0018620095274999927
z_dichrodiff,Predominant_simpleCropland,0.44796741332,0.04044465391119596,0.36929655125,0.5268288142499999
z_dichrodiff,Predominant_simplePasture,0.6165870342183334,0.044649896412303124,0.530518835,0.70398117825
z_dichrodiff,Predominant_simplePlantationforest,-0.0011634220839736834,0.040204468476443544,-0.0806752984,0.07592225934999998
z_dichrodiff,Predominant_simpleSecondary,0.22036776842183334,0.03704920001103355,0.14739346325,0.29348538849999994
z_dichrodiff,z_dichrodiff:Predominant_simpleCropland,0.019581114443457715,0.014557827198892447,-0.009398728575000001,0.048045988824999976
z_dichrodiff,z_dichrodiff:Predominant_simplePasture,0.09826213492533334,0.020036564196396666,0.058578470524999995,0.13641849699999997
z_dichrodiff,z_dichrodiff:Predominant_simplePlantationforest,-3.33628496024645e-4,0.012016934314945292,-0.023413146750000002,0.02319096022499998
z_dichrodiff,z_dichrodiff:Predominant_simpleSecondary,0.03561696894824667,0.01143599639410058,0.013113633999999999,0.05840974529999997
