model,R2,Q2.5,Q97.5
meancolcooney_base,0.10230581771586791,0.09676259376677976,0.10793468522702193
meancolcooney_covariate,0.16847164784907787,0.16212845216703597,0.1751221994745482
dichrocooney_base,0.06241810723462423,0.058258061140887135,0.0667532323934463
dichrocooney_covariate,0.11022197236911573,0.10474875883121307,0.11601202668151665
malecolcooney_base,0.07675620380516386,0.07189268375675557,0.08192499992007618
malecolcooney_covariate,0.1504361471483819,0.14417040958481325,0.1568730983066724
dichrodiff_base,0.06760785463853702,0.06260906349495587,0.0726966805835911
dichrodiff_covariate,0.15645416382100785,0.14993716277760757,0.16315797027058018
