response,parameter,Estimate,Est.Error,Q2.5,Q97.5
meancoldale,prop_Cropland,3.8339717837625,0.05476704535696404,3.723371275,3.9410927325
meancoldale,prop_Plantation_forest,3.898602665025,0.05219934683679981,3.79295323,3.9996312175
meancoldale,prop_Primary_vegetation,3.886532022775,0.05169231808603482,3.7815432325000002,3.986883885
meancoldale,prop_Pasture,3.9059104783625,0.05347995480603714,3.797581655,4.0079449875
meancoldale,prop_Secondary,3.886062693225,0.051324610992850156,3.7819983550000003,3.9852355775
dichrodale,prop_Cropland,0.08924420843572388,0.06628314618143506,-0.0412240496,0.21862592724999996
dichrodale,prop_Plantation_forest,0.05442623529643512,0.06391255020283029,-0.070534863425,0.18090363899999995
dichrodale,prop_Primary_vegetation,0.06579564893166437,0.06352451102459986,-0.058387261625,0.19035130924999996
dichrodale,prop_Pasture,0.0818651087649905,0.0650844962923303,-0.047314586449999994,0.21141184624999995
dichrodale,prop_Secondary,0.05462650623288725,0.06312929211878468,-0.0683826411,0.17914143775
malecoldale,prop_Cropland,3.8708024571875,0.06950271718548957,3.7312830675,4.005490755
malecoldale,prop_Plantation_forest,3.9179831384875,0.06738266477960074,3.7844857725,4.048276555
malecoldale,prop_Primary_vegetation,3.911016956175,0.06620541834514254,3.7806407525,4.0408547175
malecoldale,prop_Pasture,3.9400571910625,0.06825379564397234,3.8039753625,4.07265525
malecoldale,prop_Secondary,3.9051723288875,0.06633680293229452,3.7750580475,4.03449032
dichrodiffdale,prop_Cropland,4.433281392469566,3.2556818729470716,-1.9550522524999998,10.783389249999997
dichrodiffdale,prop_Plantation_forest,2.6470882209319173,3.1756460027841054,-3.4667707974999993,8.971011382499997
dichrodiffdale,prop_Primary_vegetation,3.2358903108954298,3.1531248121304025,-2.8426675474999996,9.467409979999998
dichrodiffdale,prop_Pasture,4.07198949771095,3.2475573240751165,-2.1951298049999997,10.421521949999999
dichrodiffdale,prop_Secondary,2.6672136933013464,3.1463606973309135,-3.38673737,8.808879177499998
