response,R2_estimate,R2_error,R2_lower,R2_upper
meancoldale,0.7474817126075425,0.024213604340955694,0.6986423599373822,0.7936159364051621
dichrodale,0.8186855321034785,0.023604139619374586,0.7697090016948158,0.8609730450024463
malecoldale,0.83716233005722,0.019257339461100923,0.798007772430215,0.8735637097358563
dichrodiffdale,0.8267720616040124,0.020905662335877588,0.7844828696808528,0.8669559968095724
