model,parameter,Estimate,Est.Error,Q2.5,Q97.5,prior_only_empty_cell
z_malecoldale,Intercept,-0.0010563781340047125,0.023672833465595462,-0.046238042,0.04633906424999997,FALSE
z_malecoldale,z_malecoldale,6.433206661982562e-4,0.001656161738401534,-0.002604494885,0.003925142807499999,FALSE
z_malecoldale,Biome4TemperateForest,-0.0170585484447025,0.007239567984828396,-0.031542407925,-0.0027122105275000146,FALSE
z_malecoldale,Biome4TemperateOpen,-0.0018848514372237625,0.00671872568113256,-0.01501401545,0.011239775249999995,FALSE
z_malecoldale,Biome4TropicalOpen,0.01155773759316525,0.008137918620108136,-0.004815895565,0.027211990274999997,FALSE
z_malecoldale,Predominant_simpleCropland,-0.0036394102168825,8.435120498734427e-4,-0.0052705852375,-0.0020036696775000006,FALSE
z_malecoldale,Predominant_simplePasture,-0.0010796182840767602,0.0018706707428396048,-0.004671155267499999,0.002582277554999999,FALSE
z_malecoldale,Predominant_simplePlantationforest,-0.0014034934512798325,9.844337884916613e-4,-0.00332887002,5.19107399999999e-4,FALSE
z_malecoldale,z_malecoldale:Biome4TemperateForest,-0.0016448394379723038,0.002427658443781539,-0.006371875977499999,0.0032176586774999992,FALSE
z_malecoldale,z_malecoldale:Biome4TemperateOpen,-0.002847563818280231,0.003924764878747609,-0.010534505125,0.004827176519999998,FALSE
z_malecoldale,z_malecoldale:Biome4TropicalOpen,-0.0094938556711,0.0019011263181698934,-0.013182887525,-0.0057638842325000005,FALSE
z_malecoldale,z_malecoldale:Predominant_simpleCropland,0.0016254324629817625,6.924109238914973e-4,2.5717401600000014e-4,0.0029631214924999987,FALSE
z_malecoldale,z_malecoldale:Predominant_simplePasture,0.00253850235602189,0.0010819945081376105,3.9686518300000007e-4,0.004654334439999998,FALSE
z_malecoldale,z_malecoldale:Predominant_simplePlantationforest,8.897558874465611e-4,0.00064091164274427835,-3.473163975e-4,0.0021519549949999997,FALSE
z_malecoldale,Biome4TemperateForest:Predominant_simpleCropland,0.002815226893087725,0.006833112771852009,-0.010665001825,0.016148119474999997,FALSE
z_malecoldale,Biome4TemperateOpen:Predominant_simpleCropland,-3.4831774610375245e-5,0.19902741913530986,-0.39472260125,0.3914195177499999,TRUE
z_malecoldale,Biome4TropicalOpen:Predominant_simpleCropland,-0.005241249821084312,0.002550631999346458,-0.0102224698,-2.0951663750000009e-4,FALSE
z_malecoldale,Biome4TemperateForest:Predominant_simplePasture,3.4645216823962496e-5,0.0070417319393758894,-0.013757156975,0.013947635099999998,FALSE
z_malecoldale,Biome4TemperateOpen:Predominant_simplePasture,-0.019007266331017725,0.021580375993343448,-0.060148256324999996,0.02360354917499997,FALSE
