response,parameter,Estimate,Est.Error,Q2.5,Q97.5
meancoldale,prop_Cropland,3.8322721508375,0.05478338621754404,3.72370482,3.9371711325
meancoldale,prop_Plantation_forest,3.8969290351625,0.0525798545647121,3.7917880325,3.9963408974999997
meancoldale,prop_Primary_vegetation,3.88466020695,0.05219386581812576,3.78174135,3.983013115
meancoldale,prop_Pasture,3.904418874725,0.05423536153709433,3.7972770625,4.0089561575
meancoldale,prop_Secondary,3.884171968725,0.05200684318853447,3.7794983675,3.9810455449999997
dichrodale,prop_Cropland,0.0902178657730875,0.06690947709931366,-0.040794169299999995,0.22159441474999997
dichrodale,prop_Plantation_forest,0.05582981347134362,0.06457948183763369,-0.07087951237500001,0.18254169449999993
dichrodale,prop_Primary_vegetation,0.0674644734264885,0.06401315419075275,-0.056185843099999994,0.19621536074999996
dichrodale,prop_Pasture,0.083443622912397,0.06565985259132497,-0.0459303206,0.21242742799999983
dichrodale,prop_Secondary,0.05600848852991575,0.06412845460555296,-0.06992100162499999,0.18364666074999997
malecoldale,prop_Cropland,3.8762239965875,0.07030919273317708,3.7409774874999995,4.015463705
malecoldale,prop_Plantation_forest,3.9241553345875,0.06786784457818225,3.7905070875,4.0573304425
malecoldale,prop_Primary_vegetation,3.9170146288625,0.06764048575985354,3.7844404525,4.0503997924999995
malecoldale,prop_Pasture,3.9456173135375,0.06958294906089212,3.8108867749999997,4.0842653675
malecoldale,prop_Secondary,3.9110889859,0.06729829671821051,3.7816612025,4.042495
dichrodiffdale,prop_Cropland,4.518733840578145,3.245206752236667,-1.7642118,11.010849824999994
dichrodiffdale,prop_Plantation_forest,2.722604342283111,3.112413780254433,-3.3335145025,8.874716829999999
dichrodiffdale,prop_Primary_vegetation,3.30765686561471,3.102914189975189,-2.6047087224999994,9.45611677249999
dichrodiffdale,prop_Pasture,4.139589032120868,3.1846471307423188,-1.9713160875,10.432995775
dichrodiffdale,prop_Secondary,2.74278586946301,3.0930131928891,-3.198873055,8.883817424999993
