response,contrast,Estimate,Q2.5,Q97.5,prob_positive,credible
meancoldale,Cropland - Primary vegetation,-0.01573464999999996,-0.04508401000000005,0.012682434999999931,0.144,FALSE
meancoldale,Pasture - Primary vegetation,0.006657850000000076,-0.026062857499999814,0.04040017749999968,0.654875,FALSE
meancoldale,Plantation_forest - Primary vegetation,-0.0071304999999999286,-0.03271593249999991,0.019297642500000118,0.296875,FALSE
meancoldale,Secondary - Primary vegetation,-4.5965000000003364e-4,-0.018405499999999898,0.01793025250000009,0.481875,FALSE
dichrodale,Cropland - Primary vegetation,0.007702340000000009,-0.023892784349999998,0.039214095515000005,0.692125,FALSE
dichrodale,Pasture - Primary vegetation,0.03761324049999999,0.0025146158500000022,0.07298585092499998,0.981125,TRUE
dichrodale,Plantation_forest - Primary vegetation,-9.255150000000018e-4,-0.02870849775,0.02646109102499999,0.47425,FALSE
dichrodale,Secondary - Primary vegetation,-9.45287000000003e-4,-0.020360420900000006,0.018619078375,0.459875,FALSE
malecoldale,Cropland - Primary vegetation,-0.011260599999999954,-0.0432460575000001,0.02042113499999995,0.233375,FALSE
malecoldale,Pasture - Primary vegetation,0.024061200000000005,-0.011718967500000064,0.0620141574999999,0.902,FALSE
malecoldale,Plantation_forest - Primary vegetation,-0.0071238000000000135,-0.03622158750000036,0.022847132499999825,0.312875,FALSE
malecoldale,Secondary - Primary vegetation,-0.0018060499999998925,-0.021749465000000034,0.018355545000000275,0.425,FALSE
dichrodiffdale,Cropland - Primary vegetation,0.35936480000000004,-1.2065351174999999,1.932818365,0.678,FALSE
dichrodiffdale,Pasture - Primary vegetation,1.86357524,0.05678983999999971,3.626549667499999,0.979875,TRUE
dichrodiffdale,Plantation_forest - Primary vegetation,-0.08687365000000002,-1.4832611652499998,1.3234192124999988,0.45075,FALSE
dichrodiffdale,Secondary - Primary vegetation,-0.018373929999999983,-1.0256980857500002,0.9758307562499997,0.484875,FALSE
