response,max_rhat,min_ess_bulk,min_ess_tail,n_divergent,converged
meancoldale,1.001722939445785,1209.952898005051,2159.139343557248,0,TRUE
dichrodale,1.0034631652239838,809.0621611998475,1699.102059059184,0,TRUE
malecoldale,1.0040995245332471,872.5456461629567,1705.5423453266426,0,TRUE
dichrodiffdale,1.0045518317955067,798.5626666247254,1603.3343446599065,0,TRUE
