model,parameter,Estimate,Est.Error,Q2.5,Q97.5,prior_only_empty_cell
z_malecoldale,Intercept,-3.460510603425,0.39426619744711566,-4.222540875000001,-2.695246135,FALSE
z_malecoldale,z_malecoldale,0.004812362055878825,0.025292137073320772,-0.044773468925,0.05423236557500002,FALSE
z_malecoldale,Biome4TemperateForest,0.4924803149769475,0.3013624895176474,-0.09796750439999999,1.0768416975000001,FALSE
z_malecoldale,Biome4TropicalOpen,-0.05634604868331825,0.34412250457523097,-0.7364743425,0.6177420542500001,FALSE
z_malecoldale,Predominant_simpleCropland,-0.024060467139812,0.03864547730372838,-0.10165929975,0.0507587298,FALSE
z_malecoldale,Predominant_simplePasture,0.33214900629075,0.08679047629123661,0.163533929,0.5008840072500002,FALSE
z_malecoldale,Predominant_simplePlantationforest,-0.03535242450087725,0.0330129748454569,-0.10142620725000001,0.028807823625000003,FALSE
z_malecoldale,Predominant_simpleSecondary,-0.003927904414866925,0.032461283801584265,-0.06574964187500001,0.060387466525,FALSE
z_malecoldale,z_malecoldale:Biome4TemperateForest,0.02104755029496025,0.04259814207965783,-0.06322250370000002,0.10423803350000001,FALSE
z_malecoldale,z_malecoldale:Biome4TropicalOpen,-0.0817652236245775,0.032209926552471034,-0.14444742074999997,-0.018021134224999968,FALSE
z_malecoldale,z_malecoldale:Predominant_simpleCropland,0.05405650275458,0.02005565054710305,0.01447756595,0.092727475625,FALSE
z_malecoldale,z_malecoldale:Predominant_simplePasture,-0.0494052000214785,0.03272215394445976,-0.112094284,0.014426446475000009,FALSE
z_malecoldale,z_malecoldale:Predominant_simplePlantationforest,4.5552062498305e-4,0.015128002013061477,-0.029062884475,0.030382989075000002,FALSE
z_malecoldale,z_malecoldale:Predominant_simpleSecondary,0.004711075430425,0.013615526561744805,-0.02173879845,0.03182296025,FALSE
z_malecoldale,Biome4TemperateForest:Predominant_simpleCropland,0.028027343406047,0.08564521971545139,-0.13529419025,0.1935434135,FALSE
z_malecoldale,Biome4TropicalOpen:Predominant_simpleCropland,0.11854473535858225,0.09473929084177996,-0.061146682,0.308631121,FALSE
z_malecoldale,Biome4TemperateForest:Predominant_simplePasture,-0.33817900731365,0.12088876478506701,-0.57400258775,-0.10207864449999997,FALSE
z_malecoldale,Biome4TropicalOpen:Predominant_simplePasture,0.231838400871615,0.13911686893117267,-0.041036111225,0.5033864252500001,FALSE
z_malecoldale,Biome4TemperateForest:Predominant_simplePlantationforest,0.217537624703825,0.07936443625110265,0.06609313277500001,0.3716801195,FALSE
z_malecoldale,Biome4TropicalOpen:Predominant_simplePlantationforest,0.0783261514123645,0.0721041408415571,-0.06627850382499999,0.21666827325000004,FALSE
z_malecoldale,Biome4TemperateForest:Predominant_simpleSecondary,0.223659585055525,0.060112112207428424,0.109153322,0.34516588550000005,FALSE
z_malecoldale,Biome4TropicalOpen:Predominant_simpleSecondary,0.09426007574785668,0.054798340475718514,-0.012505485850000001,0.20152654175,FALSE
z_dichrodiffdale,Intercept,-3.455604668875,0.37287932046773564,-4.195124022499999,-2.7189671425,FALSE
z_dichrodiffdale,z_dichrodiffdale,-0.027605067805574,0.025133742485668863,-0.07620536745,0.02147127987500001,FALSE
z_dichrodiffdale,Biome4TemperateForest,0.47332814438965226,0.3079709588476937,-0.14755560524999997,1.053238035,FALSE
z_dichrodiffdale,Biome4TropicalOpen,-0.06996313717347,0.345795318611748,-0.741407417,0.5962782505000003,FALSE
z_dichrodiffdale,Predominant_simpleCropland,-0.02372544585319625,0.038033328993507906,-0.1006155775,0.0493460998,FALSE
z_dichrodiffdale,Predominant_simplePasture,0.332126054957025,0.08620682572686789,0.16308708225000002,0.5030082275,FALSE
z_dichrodiffdale,Predominant_simplePlantationforest,-0.034646057100293774,0.032300959715346404,-0.097071445375,0.028391976875000006,FALSE
z_dichrodiffdale,Predominant_simpleSecondary,-0.002214782967497725,0.03218733273581769,-0.06534591265,0.06179517352500001,FALSE
z_dichrodiffdale,z_dichrodiffdale:Biome4TemperateForest,0.04779667647686255,0.04786454936384965,-0.046511086300000004,0.14238323725000002,FALSE
z_dichrodiffdale,z_dichrodiffdale:Biome4TropicalOpen,-0.006257840090034525,0.03863556680151572,-0.0815303445,0.06975733920000002,FALSE
z_dichrodiffdale,z_dichrodiffdale:Predominant_simpleCropland,0.0346776173799695,0.01952827521611041,-0.004565747015,0.07266950020000001,FALSE
z_dichrodiffdale,z_dichrodiffdale:Predominant_simplePasture,0.04458781836922,0.030077260632935206,-0.013570205124999998,0.10406643075000002,FALSE
z_dichrodiffdale,z_dichrodiffdale:Predominant_simplePlantationforest,0.016507136420914077,0.01618687906072713,-0.0149206059,0.048379981425,FALSE
z_dichrodiffdale,z_dichrodiffdale:Predominant_simpleSecondary,0.006246952409923575,0.013746910835211372,-0.020841286,0.03255959920000002,FALSE
z_dichrodiffdale,Biome4TemperateForest:Predominant_simpleCropland,0.024642342333577,0.0869218276158283,-0.14450205075,0.19463905625000003,FALSE
z_dichrodiffdale,Biome4TropicalOpen:Predominant_simpleCropland,0.1349258689138975,0.09425462015063743,-0.048677019825,0.3211483087500001,FALSE
z_dichrodiffdale,Biome4TemperateForest:Predominant_simplePasture,-0.34102293360425,0.124775384621629,-0.5813001250000001,-0.092561090275,FALSE
z_dichrodiffdale,Biome4TropicalOpen:Predominant_simplePasture,0.221587345781385,0.13376143528130563,-0.05105269827499998,0.47820284850000006,FALSE
z_dichrodiffdale,Biome4TemperateForest:Predominant_simplePlantationforest,0.22072763980649,0.07971739133733691,0.064247111275,0.3778573217500001,FALSE
z_dichrodiffdale,Biome4TropicalOpen:Predominant_simplePlantationforest,0.083674823749608,0.07238243136952043,-0.06061722599999999,0.2252730135,FALSE
z_dichrodiffdale,Biome4TemperateForest:Predominant_simpleSecondary,0.21858892600765,0.05932452348564885,0.1040582105,0.33642197,FALSE
z_dichrodiffdale,Biome4TropicalOpen:Predominant_simpleSecondary,0.0954638175170905,0.05684165301820478,-0.018705052299999997,0.20430147125,FALSE
