response,R2_estimate,R2_error,R2_lower,R2_upper
meancoldale,0.748329012017899,0.0225984511384209,0.7029073760631694,0.7911139740404743
dichrodale,0.827819332417482,0.02342670541791072,0.7803856637213039,0.8721875214693686
malecoldale,0.8365260463001608,0.018530856363275224,0.7989967933863017,0.87264728017241
dichrodiffdale,0.8329189174933158,0.021009286116753057,0.7905518882536827,0.872459363366998
