model,R2,Q2.5,Q97.5
meancoldale,0.0947569584701639,0.08825747856456777,0.10143601164886247
dichrodale,0.20029979443599824,0.1921090583829835,0.20864062786993523
malecoldale,0.10336280873399241,0.09629765802761571,0.11044237710008513
dichrodiffdale,0.20622698293195232,0.19833760146705548,0.21410176574586362
