response,sd_estimate,sd_error,sd_lower,sd_upper
meancolcooney,0.05706138658216667,0.0030933671171996654,0.050971487875,0.06296186502500001
dichrocooney,0.020121640558066665,0.0028635335439524214,0.0140775671,0.025340967524999994
malecolcooney,0.056393897379666665,0.003725177204208654,0.049061558225,0.0635683289
