response,elpd_A1a,elpd_A1b,elpd_diff_A1a_minus_A1b,se_diff,preferred
meancolcooney,-161716.66768936513,-162010.50118804202,293.8334986768896,33.4424423764193,A1a (full interactions)
dichrocooney,1541.286331231726,1122.4962293375447,418.79010189418136,34.9066662446733,A1a (full interactions)
malecolcooney,-166635.17304120847,-166956.84335358266,321.67031237418996,33.43956941634899,A1a (full interactions)
dichrodiff,-156733.25447486262,-157076.61497072395,343.3604958613287,33.779937024218974,A1a (full interactions)
