"model","max_rhat","min_ess_bulk","min_ess_tail","n_divergent"
"z_malecolcooney_int",1.0007363590494,3625.11593736921,2465.89731333541,0
"z_dichrodiff_int",1.00103927286565,3632.2289850719,2526.89758506762,0
"z_malecolcooney_main",1.00332334826384,3710.51956314577,2626.54488827821,0
"z_dichrodiff_main",1.0015831981751,3217.88371122973,2368.91768786563,0
