response,parameter,Estimate,Est.Error,Q2.5,Q97.5
meancolcooney,prop_Cropland,4.6767958991875,0.1798093230153115,4.3253104575,5.029463585
meancolcooney,prop_Plantation_forest,4.6036719282875,0.17491928220158198,4.266684680000001,4.9424056075
meancolcooney,prop_Primary_vegetation,4.58132635405,0.17393168391710173,4.2448582775,4.9164531275000005
meancolcooney,prop_Pasture,4.4280386899,0.1785109440371944,4.08253317,4.771916822500001
meancolcooney,prop_Secondary,4.6216362279375,0.17250874349886708,4.280713125,4.95569548
dichrocooney,prop_Cropland,0.0665553199796574,0.10017715771837513,-0.1298722915,0.2639070109999998
dichrocooney,prop_Plantation_forest,0.05955788078802138,0.092143366813015,-0.11877847125,0.23992204799999994
dichrocooney,prop_Primary_vegetation,0.08562832781353875,0.09112754374428396,-0.0932402717,0.26278991175
dichrocooney,prop_Pasture,0.099700776961493,0.09685025285613116,-0.0883155065,0.28664276824999996
dichrocooney,prop_Secondary,0.0402518194729884,0.09074222936397489,-0.135548636,0.21705880974999997
malecolcooney,prop_Cropland,4.6906636443375,0.1969913789877664,4.306697525000001,5.076250957499999
malecolcooney,prop_Plantation_forest,4.6214214119625,0.19087455863104077,4.2478668325,5.0001012775
malecolcooney,prop_Primary_vegetation,4.6026099484625,0.18821050700234357,4.2329809549999995,4.98284222
malecolcooney,prop_Pasture,4.4538707973,0.19596653550654947,4.0743447325,4.853958042499999
malecolcooney,prop_Secondary,4.63117046175,0.18784502452270663,4.2661645875000005,5.0050941275000005
