"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"fit2",0,0,79554.7827940569,770.955378358644,775.04201137859,30.1886300184795,-159109.565588114,1541.91075671729
"fit3",-3.43149720055853,4.5429029443175,79551.3512968559,771.131449184124,785.601753652979,30.9382015668188,-159102.702593712,1542.26289836825
