response,R2_estimate,R2_error,R2_lower,R2_upper
meancolcooney,0.8917139067042436,0.018215376943385944,0.8525535595273491,0.9237376827688912
dichrocooney,0.46737232319371375,0.04978894578685469,0.37236238370500346,0.5672045301563992
malecolcooney,0.8673162159806775,0.020234765463054173,0.8251411960926962,0.9032632451368509
