response,land_use,trophic,Estimate,Q2.5,Q97.5
dichrocooney,Secondary,Invertivore,-0.12192174326743094,-0.32337468425,0.0770084239999998
dichrocooney,Pasture,Nectarivore,-0.08238579295551816,-0.32068885375,0.15374719999999986
dichrocooney,Plantationforest,Nectarivore,0.3041929664156725,0.077873458475,0.5474146157499999
dichrocooney,Primaryvegetation,Nectarivore,-0.05928144300876333,-0.2684341695,0.14626066324999998
dichrocooney,Secondary,Nectarivore,-0.027547087874393333,-0.2440778385,0.17983932374999995
dichrocooney,Pasture,Omnivore,-0.026921372809437166,-0.25092749675000003,0.20087475674999994
dichrocooney,Plantationforest,Omnivore,0.17107079703987366,-0.05529303055,0.40573182825
dichrocooney,Primaryvegetation,Omnivore,-0.11039751626146833,-0.31079838075,0.08924131417499997
dichrocooney,Secondary,Omnivore,-0.0265039489863805,-0.22928906675000002,0.17376847224999992
malecolcooney,Pasture,Frugivore,0.2221316464875,-0.073886829625,0.5123285737499998
malecolcooney,Plantationforest,Frugivore,-0.34594284136541165,-0.6305852925000001,-0.0475105695
malecolcooney,Primaryvegetation,Frugivore,-0.1936510674829385,-0.4258003995,0.03490468812499996
malecolcooney,Secondary,Frugivore,-0.08236433455593117,-0.31535428925000003,0.15414461499999987
malecolcooney,Pasture,Granivore,0.1013650658546155,-0.1773339865,0.37228907875000006
malecolcooney,Plantationforest,Granivore,0.29880150260178834,0.009024289199999999,0.58921048125
malecolcooney,Primaryvegetation,Granivore,-0.03407926042245567,-0.26438518875,0.19518336575
malecolcooney,Secondary,Granivore,0.10473258885447567,-0.12896349299999998,0.33796400424999995
malecolcooney,Pasture,Herbivoreterrestrial,0.005851461031455,-0.96116304775,0.988806637
malecolcooney,Plantationforest,Herbivoreterrestrial,-0.002888470713869334,-0.98196229325,0.9852135032499998
malecolcooney,Primaryvegetation,Herbivoreterrestrial,0.002511563468383333,-0.9714950732500001,1.006942694999998
malecolcooney,Secondary,Herbivoreterrestrial,0.06697773503631217,-0.6723549630000001,0.8002801972499999
malecolcooney,Pasture,Invertivore,0.07619205646286584,-0.199369105,0.3475882864999999
malecolcooney,Plantationforest,Invertivore,0.009784381522888717,-0.27533629825,0.29976411074999976
malecolcooney,Primaryvegetation,Invertivore,-0.13550336677966032,-0.36349577299999997,0.08742617417499977
malecolcooney,Secondary,Invertivore,-0.020494566978762785,-0.25027403525,0.21169739099999993
malecolcooney,Pasture,Nectarivore,0.09922415485800233,-0.19915373225,0.398770975
malecolcooney,Plantationforest,Nectarivore,0.006286099989745167,-0.30097912525000003,0.30594759924999987
malecolcooney,Primaryvegetation,Nectarivore,-0.3171027182646,-0.5631033867499999,-0.07898349260000022
malecolcooney,Secondary,Nectarivore,-0.1564955458382316,-0.40380243475,0.09369099519999993
malecolcooney,Pasture,Omnivore,0.06293105556111533,-0.21272982875,0.33309781074999983
malecolcooney,Plantationforest,Omnivore,0.12502859925409232,-0.15875032674999998,0.4147799054999998
malecolcooney,Primaryvegetation,Omnivore,-0.028581915696066967,-0.25723902025,0.19373944524999984
malecolcooney,Secondary,Omnivore,0.019350756942280833,-0.21042633175,0.25211935649999967
