response,land_use,trophic,Estimate,Q2.5,Q97.5
meancolcooney,Pasture,Frugivore,0.18130332039740332,-0.100910119,0.4551784657499999
meancolcooney,Plantationforest,Frugivore,-0.37688239633905,-0.640454136,-0.1019553532500001
meancolcooney,Primaryvegetation,Frugivore,-0.18347485368339,-0.406918701,0.04789611582499997
meancolcooney,Secondary,Frugivore,-0.10040692085589166,-0.33454628975,0.12951029549999984
meancolcooney,Pasture,Granivore,0.11438657779427835,-0.15443811275,0.3728163632499998
meancolcooney,Plantationforest,Granivore,0.20501319546906532,-0.057322400525000004,0.47664408449999984
meancolcooney,Primaryvegetation,Granivore,-0.06013512177189,-0.2879034015,0.16858187974999986
meancolcooney,Secondary,Granivore,0.04190001606596467,-0.18982386175,0.27155850075
meancolcooney,Pasture,Herbivoreterrestrial,0.008919350453104833,-0.96080638075,0.9657463062499994
meancolcooney,Plantationforest,Herbivoreterrestrial,-0.0028535315597650003,-1.0007287,1.0011385025
meancolcooney,Primaryvegetation,Herbivoreterrestrial,-0.0014658325841993328,-1.0027462475,0.9911918797499996
meancolcooney,Secondary,Herbivoreterrestrial,0.06969713846487584,-0.69484991575,0.7986667822499992
meancolcooney,Pasture,Invertivore,0.09260496984173666,-0.17155174424999997,0.3511649212499996
meancolcooney,Plantationforest,Invertivore,0.009328297687217667,-0.24970480525,0.2787965692499995
meancolcooney,Primaryvegetation,Invertivore,-0.06178435288722882,-0.28354589,0.1630724272499998
meancolcooney,Secondary,Invertivore,0.029674811843602333,-0.19973187225,0.2561764202499999
meancolcooney,Pasture,Nectarivore,0.14476933183361165,-0.14566777675,0.42850956474999996
meancolcooney,Plantationforest,Nectarivore,-0.09170541860567784,-0.3681018125,0.18827289299999983
meancolcooney,Primaryvegetation,Nectarivore,-0.27700632031424666,-0.50916318575,-0.042790219425000046
meancolcooney,Secondary,Nectarivore,-0.148774584753574,-0.39683030550000004,0.08967566062499997
meancolcooney,Pasture,Omnivore,0.091635087295443507,-0.1784211535,0.34836716849999994
meancolcooney,Plantationforest,Omnivore,0.07652007405571183,-0.18591500825,0.34764317999999994
meancolcooney,Primaryvegetation,Omnivore,0.016008498285592667,-0.20760673924999998,0.24493160799999986
meancolcooney,Secondary,Omnivore,0.028840004725169666,-0.20338605724999997,0.2539743327499997
dichrocooney,Pasture,Frugivore,0.1266425544865135,-0.09988719795,0.35744887825
dichrocooney,Plantationforest,Frugivore,0.10599501554004433,-0.1208785505,0.34011512
dichrocooney,Primaryvegetation,Frugivore,-0.06501835208086316,-0.26569974775000005,0.13053118499999988
dichrocooney,Secondary,Frugivore,0.005348147387445184,-0.2007487375,0.2053106469999999
dichrocooney,Pasture,Granivore,0.011938170182124367,-0.21468998749999998,0.24317946924999992
dichrocooney,Plantationforest,Granivore,0.27129918691155003,0.046810315150000004,0.50393550125
dichrocooney,Primaryvegetation,Granivore,0.06528461560110534,-0.13592859875,0.26370635949999993
dichrocooney,Secondary,Granivore,0.13329047844092334,-0.07110431822499999,0.33556187274999993
dichrocooney,Pasture,Herbivoreterrestrial,-0.0019569520962177916,-0.94690874025,0.9605581714999996
dichrocooney,Plantationforest,Herbivoreterrestrial,-2.3792498605499962e-4,-0.9982771265,0.9923843139999994
dichrocooney,Primaryvegetation,Herbivoreterrestrial,0.0016200318203356664,-0.9879197995,0.9928170959999998
dichrocooney,Secondary,Herbivoreterrestrial,0.012804738591640467,-0.71287083575,0.7430027664999999
dichrocooney,Pasture,Invertivore,0.013126079973309833,-0.21004580775000004,0.24302949124999979
dichrocooney,Plantationforest,Invertivore,0.061828542266565,-0.16161064049999999,0.29497651924999996
dichrocooney,Primaryvegetation,Invertivore,-0.18066968475407966,-0.38136484375,0.01487431254999999
