model,group,sd
z_malecolcooney,phylo,0.07148554802575
z_malecolcooney,SS,0.0149494099610625
z_malecolcooney,SSB,0.00100401317022221
z_malecolcooney,SSBS,2.2436524484671836e-4
z_malecolcooney,residual__,0.05041065214325
z_malecolcooney,sigma,0.05041065214325
z_dichrodiff,phylo,0.07130641221
z_dichrodiff,SS,0.0149808448222875
z_dichrodiff,SSB,9.98286647907561e-4
z_dichrodiff,SSBS,2.22609378067114e-4
z_dichrodiff,residual__,0.05041191848075
z_dichrodiff,sigma,0.05041191848075
