colour_predictor,parameter,Estimate,Est.Error,Q2.5,Q97.5
z_meancolcooney,Intercept,0.52157296622,0.023396032866560473,0.475302677,0.56698236325
z_meancolcooney,z_meancolcooney,-0.002799065205223557,0.007385712027795102,-0.0171489573,0.011945619499999997
z_meancolcooney,Predominant_simpleCropland,0.16134075398816666,0.03989072718827198,0.08367631577500001,0.23918662875
z_meancolcooney,Predominant_simplePasture,0.12974873571902834,0.04248354123891343,0.04562927475,0.21274961724999994
z_meancolcooney,Predominant_simplePlantationforest,0.3494739944283333,0.038092912898972806,0.27571595075,0.424226204
z_meancolcooney,Predominant_simpleSecondary,0.1725805113525,0.03481095173936949,0.1022767895,0.24145678575
z_meancolcooney,z_meancolcooney:Predominant_simpleCropland,0.03416313124493667,0.014222409085816295,0.006503458937499999,0.062490949375
z_meancolcooney,z_meancolcooney:Predominant_simplePasture,0.06263501761951,0.01842509132077425,0.0258118756,0.09863597019999998
z_meancolcooney,z_meancolcooney:Predominant_simplePlantationforest,-0.022603041366739834,0.012282291413494623,-0.046703151075,0.0016140949474999927
z_meancolcooney,z_meancolcooney:Predominant_simpleSecondary,0.023669794637875833,0.011693093749309089,4.240340402499999e-4,0.04679608479999998
z_dichrocooney,Intercept,0.5235217355466667,0.02468391318330631,0.476723858,0.5721052415
z_dichrocooney,z_dichrocooney,-0.018281967907398,0.00703734445636798,-0.032359444274999996,-0.004624176932500002
z_dichrocooney,Predominant_simpleCropland,0.153166574196,0.040141994435586935,0.0722704565,0.2309258559999999
z_dichrocooney,Predominant_simplePasture,0.107743846614415,0.04211597386997132,0.023806392725,0.18911426524999997
z_dichrocooney,Predominant_simplePlantationforest,0.3494758102466667,0.037992883613821526,0.27433302225,0.42310052275000004
z_dichrocooney,Predominant_simpleSecondary,0.167654796963,0.03537414609989823,0.09892518844999999,0.23810970499999995
z_dichrocooney,z_dichrocooney:Predominant_simpleCropland,0.049152566810023834,0.015056477493606231,0.01934462905,0.07942624057499999
z_dichrocooney,z_dichrocooney:Predominant_simplePasture,0.09032241575616666,0.01723623440233356,0.056710758575,0.125356217
z_dichrocooney,z_dichrocooney:Predominant_simplePlantationforest,2.8914324909756664e-4,0.011997860763691338,-0.023205516175,0.023747590799999996
z_dichrocooney,z_dichrocooney:Predominant_simpleSecondary,0.026652384825169118,0.011819661850771018,0.0033673671425,0.04952051689999998
z_malecolcooney,Intercept,0.520795575475,0.024897602150265763,0.47165695325,0.56914747725
z_malecolcooney,z_malecolcooney,-0.010005922868108367,0.007542685945864166,-0.02455095685,0.004976059367499989
z_malecolcooney,Predominant_simpleCropland,0.16098357781233333,0.03906616446953673,0.085627225325,0.23996920874999997
z_malecolcooney,Predominant_simplePasture,0.13241288037036666,0.04130698316678639,0.054095716249999995,0.21436501649999998
z_malecolcooney,Predominant_simplePlantationforest,0.34840834717833336,0.037740719109749306,0.27345467900000003,0.42220331575
z_malecolcooney,Predominant_simpleSecondary,0.173717272566,0.03569867791110274,0.10311794949999999,0.24317248524999996
z_malecolcooney,z_malecolcooney:Predominant_simpleCropland,0.03882895124958834,0.01468629482391166,0.0097187872625,0.06700674834999998
z_malecolcooney,z_malecolcooney:Predominant_simplePasture,0.0838137664445,0.018427799716545845,0.048310608725,0.12009716974999998
z_malecolcooney,z_malecolcooney:Predominant_simplePlantationforest,-0.019606194080029168,0.012567798113790501,-0.044009798999999995,0.004818639817499998
z_malecolcooney,z_malecolcooney:Predominant_simpleSecondary,0.028456456216370832,0.011882438983696588,0.0050690920274999995,0.05179926962499999
