response,parameter,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
meancolcooney,Intercept,4.618929645166666,0.06342118586201403,4.495911345,4.7426739975,1.0062977072375756,772.4344259627717,1520.29890535446
meancolcooney,Predominant_simpleCropland,-0.14808438452449132,0.17661725797725736,-0.49828030799999995,0.1907138089999998,1.002521124424384,1148.0813349039495,2044.7987289964196
meancolcooney,Predominant_simplePasture,-0.1402274065975582,0.12645901803613965,-0.38149732099999994,0.10853282624999998,1.006340900944348,1036.9479394304617,1431.8180374382953
meancolcooney,Predominant_simplePlantationforest,0.017603415324487,0.13229401549002845,-0.24208571574999999,0.2814666079999999,1.0058106706827474,1000.346793337934,1927.7531667117817
meancolcooney,Predominant_simpleSecondary,-0.09733423574402966,0.09667339252022324,-0.28415097175,0.09296357259999995,1.0036608094647592,937.5909732187165,1551.5603131448845
meancolcooney,z_logMass,-0.11505571582333333,0.003698497560173557,-0.12217850025,-0.10772243925,1.0010957210111695,3502.2319715098224,4352.8504043657895
meancolcooney,Biome4TemperateForest,-0.12189666990533334,0.009460763141269198,-0.140241526,-0.10317185424999999,1.001052816361807,1993.1460129500344,3728.969672255881
meancolcooney,Biome4TemperateOpen,-0.271877465305,0.03517739614022184,-0.3400939735,-0.20274713500000002,1.0014576919029465,1738.2661069549804,3012.4171225178147
meancolcooney,Biome4TropicalOpen,-0.198216381225,0.01080552312151778,-0.21915034349999998,-0.17714734599999998,1.000797869847953,1956.9566024495407,3772.015520540484
meancolcooney,Trophic.NicheFrugivore,0.19827909298756666,0.06429779607169137,0.0727304745,0.32129096425000003,1.0063566155141894,815.3149837072779,1729.0020664061133
meancolcooney,Trophic.NicheGranivore,0.03178797432472116,0.06509760861878792,-0.09484738084999995,0.15835482774999998,1.0069370601550376,775.3610894706304,1747.63829292664
meancolcooney,Trophic.NicheHerbivoreterrestrial,0.035671605083133835,0.36548885505433676,-0.6778677245,0.7647844974999987,1.0005952445821331,4755.461228936902,4468.188138815683
meancolcooney,Trophic.NicheInvertivore,-0.011834323360519934,0.06362587424889819,-0.13592743225,0.11245204974999999,1.0064539410519995,782.1609163958528,1651.9227073330835
meancolcooney,Trophic.NicheNectarivore,0.10674582071777966,0.06767144116191245,-0.026589611099999997,0.23707080649999998,1.00666282330268,852.085935839225,2008.4297049288045
meancolcooney,Trophic.NicheOmnivore,0.033719685787616,0.06357022209645248,-0.09227458537499997,0.15687358274999996,1.0062964588136138,755.9859867189813,1572.3151879930085
meancolcooney,Predominant_simpleCropland:z_logMass,0.02231987866601,0.007622688974427546,0.007507963890000002,0.03731967722499999,1.0003228455626927,5636.652464325346,4514.815057927973
meancolcooney,Predominant_simplePasture:z_logMass,0.052052780825333336,0.008040060864758967,0.036571059925,0.067708137,1.0003930342743004,5285.978552750967,4348.620217417912
meancolcooney,Predominant_simplePlantationforest:z_logMass,0.005072973514640283,0.005819466264379992,-0.006524911727499999,0.016361864799999987,1.000424456822089,4488.780427925194,4255.431357360304
meancolcooney,Predominant_simpleSecondary:z_logMass,-0.0018513904931877166,0.005556595437967925,-0.012794940575,0.009008098907499977,1.00128401840099,4635.443790800711,4433.384888097657
meancolcooney,Predominant_simpleCropland:Biome4TemperateForest,-0.09129162522016666,0.02210534456688741,-0.13445031675,-0.048330494250000015,1.0002304554371728,3989.567847951716,4559.582743284425
meancolcooney,Predominant_simplePasture:Biome4TemperateForest,-0.00585228177585575,0.03080389656359006,-0.06617307822499999,0.05393260899999993,1.0005145088206442,4525.450531255781,4599.102255177051
meancolcooney,Predominant_simplePlantationforest:Biome4TemperateForest,-0.10594313938783333,0.018328401519967126,-0.1415028795,-0.070322371975,1.0005721323773342,3250.8617688943677,4299.601027497035
meancolcooney,Predominant_simpleSecondary:Biome4TemperateForest,-0.03929348373398517,0.016757891804798714,-0.072046157475,-0.005535220400000046,1.0003393586407987,3286.845123683225,4435.077032283689
meancolcooney,Predominant_simpleCropland:Biome4TemperateOpen,0.08935661240719933,0.03822155709094869,0.015413985300000006,0.16397773399999996,1.0012379280146853,1819.3023552699733,3318.3654714405116
meancolcooney,Predominant_simplePasture:Biome4TemperateOpen,0.11898097838108333,0.03872209365052554,0.04357390135000002,0.19415690375,1.001847523356332,1814.2802344639135,3392.899515771482
meancolcooney,Predominant_simplePlantationforest:Biome4TemperateOpen,-0.022287644696181167,0.06647359702033863,-0.15143186125,0.1056507845,1.000419438165601,3235.912240111904,4355.301444999493
meancolcooney,Predominant_simpleSecondary:Biome4TemperateOpen,0.204639424139,0.03975181235485691,0.12401641499999999,0.281862719,1.0013933740712573,1901.8757779881523,3372.900536025133
meancolcooney,Predominant_simpleCropland:Biome4TropicalOpen,0.07716013676098334,0.019532389403380937,0.03831087582500001,0.11487924099999998,1.0006274938424917,3414.037543362064,4484.355196888351
meancolcooney,Predominant_simplePasture:Biome4TropicalOpen,0.028259322038286315,0.021694426525753336,-0.0142933236,0.07069845670000001,1.0009598695867383,4170.074536356695,4372.024818572516
meancolcooney,Predominant_simplePlantationforest:Biome4TropicalOpen,0.17229742372333334,0.01559272360074444,0.14155347799999998,0.203107624,1.0004372778424917,2613.981705318423,4191.969539707269
meancolcooney,Predominant_simpleSecondary:Biome4TropicalOpen,0.010344332136377157,0.01526040513896423,-0.01974939359999999,0.039731742449999996,1.0004733296149035,2415.3607393431407,4117.638783978299
meancolcooney,Predominant_simpleCropland:Trophic.NicheFrugivore,0.24496102106313167,0.17785205886035202,-0.09605994887499997,0.59721580575,1.0026217350047764,1161.2340234734886,2402.976462927037
meancolcooney,Predominant_simplePasture:Trophic.NicheFrugivore,0.21818966322934566,0.13328094049928585,-0.042707992799999955,0.47276413549999996,1.0062006822537728,1103.0540826296976,1297.0451725491196
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheFrugivore,-0.34890408092576,0.13300677267347083,-0.6190423220000001,-0.08803075275000005,1.005773874449111,987.7265533306703,2089.78637704619
meancolcooney,Predominant_simpleSecondary:Trophic.NicheFrugivore,0.07631529405053517,0.0982403530434676,-0.11574836249999998,0.26487195725,1.0037004023563447,935.6799674042824,1753.4322170820187
meancolcooney,Predominant_simpleCropland:Trophic.NicheGranivore,0.10632510276217566,0.17734042460149077,-0.23033251199999993,0.4620061219999999,1.0027033315013492,1143.2318915915432,2272.474870770008
meancolcooney,Predominant_simplePasture:Trophic.NicheGranivore,0.11119883221324749,0.12776842147248732,-0.1378463285,0.3561141959999999,1.006668775020703,1030.695148507072,1571.1794340176734
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheGranivore,0.1206326614830425,0.13398981690807435,-0.15086808974999993,0.37900952799999993,1.0055190538995153,1007.8001011026695,1988.631007653373
meancolcooney,Predominant_simpleSecondary:Trophic.NicheGranivore,0.11177338045670154,0.0994041384035015,-0.08494542604999998,0.30704966349999996,1.0038884998869668,968.0473321488214,1872.841998508907
meancolcooney,Predominant_simpleCropland:Trophic.NicheHerbivoreterrestrial,-0.001122981046903333,0.5092843955524592,-0.98481643,0.9972213174999996,1.002662502642867,8819.335333965751,4150.47663747123
meancolcooney,Predominant_simplePasture:Trophic.NicheHerbivoreterrestrial,0.008244289472978332,0.5034195720008338,-0.9932219789999999,0.9805717819999995,1.0020645492590612,9040.637936230925,4103.437197072342
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheHerbivoreterrestrial,-0.004080263573326501,0.5053418807424206,-0.97183775825,0.9817821787499995,1.000724581154148,9380.034416622115,4389.630138081943
meancolcooney,Predominant_simpleSecondary:Trophic.NicheHerbivoreterrestrial,0.04764183871965633,0.37107646489729507,-0.6863946144999997,0.7820505484999999,1.001239703632274,4761.8584803885515,4336.420920642419
meancolcooney,Predominant_simpleCropland:Trophic.NicheInvertivore,0.09908642964952233,0.17672607666442894,-0.24157606574999999,0.45200877324999966,1.0026968461379961,1142.5520801095456,1997.6040252242951
meancolcooney,Predominant_simplePasture:Trophic.NicheInvertivore,0.046422701692579664,0.12626010663333206,-0.20510671975,0.2866016745,1.0064472040592092,1029.1058561197162,1381.649319511005
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheInvertivore,-0.09016029632892167,0.1325579079613613,-0.35424758475,0.16778993024999989,1.0056732770641643,1000.2900143340665,2028.3783647378277
meancolcooney,Predominant_simpleSecondary:Trophic.NicheInvertivore,0.079498289726176,0.09666540779424644,-0.11138437224999997,0.26600730999999983,1.003772823442295,931.1465798260359,1521.2206898072047
meancolcooney,Predominant_simpleCropland:Trophic.NicheNectarivore,0.25119690992394517,0.18049908085818336,-0.09759212732499999,0.6068751262499997,1.0016781095777698,1170.251546902902,2282.242188597644
meancolcooney,Predominant_simplePasture:Trophic.NicheNectarivore,0.2543730754317088,0.13655106924769275,-0.012578222199999968,0.51901706975,1.00616971004508,1137.284698995326,1590.836286833272
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheNectarivore,0.05339291352697308,0.1377330836144364,-0.2183030292499999,0.3245604864999999,1.0059040082345478,1054.4894896767098,2253.546730476847
meancolcooney,Predominant_simpleSecondary:Trophic.NicheNectarivore,0.08376476940098,0.10285370937124247,-0.11932664699999998,0.2833172827499998,1.002771875884868,1014.3357657071433,1859.900800050974
meancolcooney,Predominant_simpleCropland:Trophic.NicheOmnivore,0.053525324322926164,0.17682434140875522,-0.2897281465,0.40461057424999974,1.0029286717524595,1146.077300979448,2275.8886455917614
meancolcooney,Predominant_simplePasture:Trophic.NicheOmnivore,0.03341735792283586,0.12661066389089726,-0.21395271999999999,0.27428037275,1.0064509915595448,1034.1491799098162,1351.1364095627391
meancolcooney,Predominant_simplePlantationforest:Trophic.NicheOmnivore,-0.08298612684284566,0.13260526412005924,-0.34921069474999994,0.17642323399999993,1.0059306800171708,988.3326073952726,2107.1461450496327
meancolcooney,Predominant_simpleSecondary:Trophic.NicheOmnivore,0.0143084119089545,0.0970302874409568,-0.1781927902499999,0.20170975499999985,1.0034910068839427,930.5748032319382,1725.703911808563
dichrocooney,Intercept,0.22603737102283333,0.04371317119241419,0.14116029675000002,0.31307394099999986,1.0040159726212738,937.556816368926,2077.938831348541
dichrocooney,Predominant_simpleCropland,-0.09186911639448317,0.14834647256229194,-0.38155688525,0.20235901074999996,1.0013512645489024,1682.555243342538,2891.5003088555895
dichrocooney,Predominant_simplePasture,-0.0096029588982075,0.08816818050279718,-0.18099448624999998,0.16004942199999989,1.0064291419638187,1243.98020879858,2524.6602712939966
dichrocooney,Predominant_simplePlantationforest,-0.08391041969976708,0.09607463830093842,-0.27469874274999984,0.10603092074999981,1.0057092341824116,1169.0275916746107,2056.0991066148426
dichrocooney,Predominant_simpleSecondary,0.03938215747196518,0.06770816951609056,-0.098033782025,0.16979654599999988,1.001412474711853,1025.6388921088194,2186.788241348688
dichrocooney,z_logMass,-0.02301296527416667,0.002281503386525776,-0.027446443575,-0.018544345075000003,1.0003954624580342,6268.218885549172,4754.389602585021
dichrocooney,Biome4TemperateForest,0.116905429857,0.005471330939526861,0.106222074,0.1276590195,0.999898645668497,4336.748919295102,4678.5220629943715
dichrocooney,Biome4TemperateOpen,0.08403141492132667,0.021356577357260046,0.04326282805000001,0.12688588425,1.0020071252989817,2788.3549022207053,3159.7739867148757
dichrocooney,Biome4TropicalOpen,-0.004958196174933116,0.006307597150014672,-0.0172959202,0.007480636019999993,1.0010860197600744,3244.6169368300275,4197.4340902978865
dichrocooney,Trophic.NicheFrugivore,-0.10374530295664333,0.04409642841856752,-0.19173081,-0.018466365475000062,1.0043330244874231,921.1925901410091,1898.016901708104
dichrocooney,Trophic.NicheGranivore,-0.006065672097606767,0.04468706554384418,-0.09529050419999997,0.08064534927499996,1.0035696051650578,954.0074470435502,1985.6995433442291
dichrocooney,Trophic.NicheHerbivoreterrestrial,0.03618057596948167,0.36095094007237494,-0.6908320207499999,0.7390303304999998,1.0009112437965595,6473.275981205388,4572.161082411649
dichrocooney,Trophic.NicheInvertivore,-0.22194262597783335,0.04381875116835364,-0.30837721074999996,-0.13710435725,1.0039132211528465,951.1662292524674,2041.22465810031
dichrocooney,Trophic.NicheNectarivore,0.03951205497916593,0.046290713424775025,-0.051244255374999964,0.13152674125,1.003305633155561,1067.8560288139886,1877.7712916548824
