model,max_rhat,min_ess_bulk,min_ess_tail,n_divergent,converged
meancolcooney - reduced,1.0069370601550376,755.9859867189813,1297.0451725491196,0,TRUE
meancolcooney - minimal,1.0033808133854654,1830.8480898809335,2728.955288138387,0,TRUE
dichrocooney - reduced,1.0076373621413772,921.1925901410091,1033.4690285887452,0,TRUE
dichrocooney - minimal,1.0027262712642941,1136.8829798086756,2161.361772328459,0,TRUE
malecolcooney - reduced,1.0049274281520304,860.3218667896604,1497.3790744964938,0,TRUE
malecolcooney - minimal,1.0045190612455908,868.5879390719808,1112.6119280850567,0,TRUE
dichrodiff - reduced,1.0074377559090584,535.256650368305,1263.9400722252556,0,TRUE
dichrodiff - minimal,1.0057188504401127,861.711649096147,876.0774827649456,0,TRUE
