"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"fit2",0,0,46871.2604838728,215.290916098114,2429.89371284164,27.991524664532,-93742.5209677456,430.581832196228
"fit3",-10.8840893433436,4.21565096037858,46860.3763945298,215.162661941185,2440.06353598082,28.1476909390703,-93720.7527890596,430.325323882371
